Dyad,CoderGender,SorH,Conv,Distant,Aloof,Unsociable,Introverted,Antisocial
1.0,1.0,2.0,1.0,50.0,45.833333333333336,45.0,51.666666666666664,50.0
1.0,1.0,2.0,2.0,42.5,38.333333333333336,40.0,42.5,35.0
1.0,1.0,2.0,3.0,45.0,40.0,42.5,37.5,32.5
2.0,1.0,2.0,1.0,48.333333333333336,40.833333333333336,48.333333333333336,45.0,37.5
2.0,1.0,2.0,2.0,61.666666666666664,48.333333333333336,59.166666666666664,54.166666666666664,50.0
2.0,1.0,2.0,3.0,52.5,38.333333333333336,46.666666666666664,43.333333333333336,38.333333333333336
3.0,1.0,2.0,1.0,47.0,42.0,48.0,48.0,41.0
3.0,1.0,2.0,2.0,48.0,44.0,37.0,42.0,40.0
3.0,1.0,2.0,3.0,48.333333333333336,47.5,40.833333333333336,53.333333333333336,45.833333333333336
4.0,1.0,2.0,1.0,54.166666666666664,51.666666666666664,49.166666666666664,52.5,39.166666666666664
4.0,1.0,2.0,2.0,55.833333333333336,53.333333333333336,50.833333333333336,51.666666666666664,48.333333333333336
4.0,1.0,2.0,3.0,41.166666666666664,41.666666666666664,40.0,46.666666666666664,38.333333333333336
5.0,1.0,2.0,1.0,58.333333333333336,45.833333333333336,52.5,55.833333333333336,45.0
5.0,1.0,2.0,2.0,53.0,47.0,50.0,48.0,42.0
5.0,1.0,2.0,3.0,50.833333333333336,42.5,45.833333333333336,45.833333333333336,35.0
6.0,1.0,2.0,1.0,51.666666666666664,44.166666666666664,45.833333333333336,53.333333333333336,48.333333333333336
6.0,1.0,2.0,2.0,52.5,54.166666666666664,49.166666666666664,53.333333333333336,50.0
6.0,1.0,2.0,3.0,59.5,56.666666666666664,50.0,53.333333333333336,46.666666666666664
7.0,1.0,2.0,1.0,46.666666666666664,37.5,45.833333333333336,45.833333333333336,43.333333333333336
7.0,1.0,2.0,2.0,48.333333333333336,49.166666666666664,42.5,46.666666666666664,41.666666666666664
7.0,1.0,2.0,3.0,58.333333333333336,55.0,51.666666666666664,55.833333333333336,47.5
8.0,1.0,2.0,1.0,48.333333333333336,45.0,45.833333333333336,49.166666666666664,41.666666666666664
8.0,1.0,2.0,2.0,46.666666666666664,45.0,41.666666666666664,44.166666666666664,39.166666666666664
8.0,1.0,2.0,3.0,45.833333333333336,40.833333333333336,40.0,40.0,35.0
9.0,1.0,2.0,1.0,48.333333333333336,51.666666666666664,50.833333333333336,63.333333333333336,50.0
9.0,1.0,2.0,2.0,52.5,45.0,48.333333333333336,55.833333333333336,48.333333333333336
9.0,1.0,2.0,3.0,63.333333333333336,65.0,64.16666666666667,76.66666666666667,67.5
10.0,1.0,2.0,1.0,51.0,50.0,50.0,52.0,49.0
10.0,1.0,2.0,2.0,53.333333333333336,44.166666666666664,40.0,42.5,33.333333333333336
10.0,1.0,2.0,3.0,38.333333333333336,43.0,30.833333333333332,40.833333333333336,42.5
11.0,1.0,2.0,1.0,50.0,44.166666666666664,47.5,46.666666666666664,39.166666666666664
11.0,1.0,2.0,2.0,57.5,55.0,59.166666666666664,57.5,51.666666666666664
11.0,1.0,2.0,3.0,61.666666666666664,50.833333333333336,57.5,58.333333333333336,47.5
12.0,1.0,2.0,1.0,50.0,47.5,45.833333333333336,50.833333333333336,47.5
12.0,1.0,2.0,2.0,45.833333333333336,43.333333333333336,43.333333333333336,45.833333333333336,40.0
12.0,1.0,2.0,3.0,49.0,50.0,46.0,47.0,45.0
13.0,1.0,2.0,1.0,43.333333333333336,38.333333333333336,45.0,42.5,46.666666666666664
13.0,1.0,2.0,2.0,59.166666666666664,47.5,54.166666666666664,50.833333333333336,54.166666666666664
13.0,1.0,2.0,3.0,57.5,51.666666666666664,48.333333333333336,49.166666666666664,51.666666666666664
14.0,1.0,2.0,1.0,47.5,38.333333333333336,47.5,45.833333333333336,40.0
14.0,1.0,2.0,2.0,51.666666666666664,45.0,46.666666666666664,40.833333333333336,39.166666666666664
14.0,1.0,2.0,3.0,60.0,45.833333333333336,53.333333333333336,54.166666666666664,44.166666666666664
15.0,1.0,2.0,1.0,48.333333333333336,45.833333333333336,43.333333333333336,45.833333333333336,44.166666666666664
15.0,1.0,2.0,2.0,55.833333333333336,46.666666666666664,45.0,44.166666666666664,46.666666666666664
15.0,1.0,2.0,3.0,60.0,56.666666666666664,64.16666666666667,55.833333333333336,56.666666666666664
16.0,1.0,2.0,1.0,62.5,58.333333333333336,55.833333333333336,57.5,51.666666666666664
16.0,1.0,2.0,2.0,50.833333333333336,49.166666666666664,45.0,50.833333333333336,40.833333333333336
16.0,1.0,2.0,3.0,44.166666666666664,43.333333333333336,40.0,38.333333333333336,37.5
17.0,1.0,2.0,1.0,43.333333333333336,40.0,38.333333333333336,48.333333333333336,35.833333333333336
17.0,1.0,2.0,2.0,44.166666666666664,36.666666666666664,41.666666666666664,39.166666666666664,35.833333333333336
17.0,1.0,2.0,3.0,50.0,44.166666666666664,45.333333333333336,42.5,33.333333333333336
18.0,1.0,2.0,1.0,45.833333333333336,38.333333333333336,44.166666666666664,40.0,43.333333333333336
18.0,1.0,2.0,2.0,44.166666666666664,30.833333333333332,37.5,40.833333333333336,38.333333333333336
18.0,1.0,2.0,3.0,33.333333333333336,28.333333333333332,30.0,24.166666666666668,26.666666666666668
19.0,1.0,2.0,1.0,54.166666666666664,52.5,46.666666666666664,51.666666666666664,43.333333333333336
19.0,1.0,2.0,2.0,42.5,40.833333333333336,36.666666666666664,47.5,45.0
19.0,1.0,2.0,3.0,49.166666666666664,50.0,42.833333333333336,48.333333333333336,40.833333333333336
20.0,1.0,2.0,1.0,45.0,44.166666666666664,40.833333333333336,46.666666666666664,45.0
20.0,1.0,2.0,2.0,42.5,35.833333333333336,33.333333333333336,37.5,34.166666666666664
20.0,1.0,2.0,3.0,45.833333333333336,44.166666666666664,44.166666666666664,50.833333333333336,41.666666666666664
21.0,1.0,2.0,1.0,45.833333333333336,41.666666666666664,44.166666666666664,46.666666666666664,41.666666666666664
21.0,1.0,2.0,2.0,55.833333333333336,52.5,49.166666666666664,55.0,54.166666666666664
21.0,1.0,2.0,3.0,45.0,42.0,35.0,38.0,40.0
22.0,1.0,2.0,1.0,44.166666666666664,48.333333333333336,48.333333333333336,51.666666666666664,45.0
22.0,1.0,2.0,2.0,45.833333333333336,35.0,42.5,40.0,41.666666666666664
22.0,1.0,2.0,3.0,39.166666666666664,40.333333333333336,32.5,35.833333333333336,34.166666666666664
23.0,1.0,2.0,1.0,49.166666666666664,47.5,50.833333333333336,54.166666666666664,50.833333333333336
23.0,1.0,2.0,2.0,51.666666666666664,43.333333333333336,40.833333333333336,40.0,45.833333333333336
23.0,1.0,2.0,3.0,49.166666666666664,49.166666666666664,38.333333333333336,46.666666666666664,39.166666666666664
24.0,1.0,2.0,1.0,52.5,50.0,57.5,60.833333333333336,59.166666666666664
24.0,1.0,2.0,2.0,40.833333333333336,49.166666666666664,43.333333333333336,51.666666666666664,49.166666666666664
24.0,1.0,2.0,3.0,40.0,50.0,40.0,50.0,43.0
25.0,1.0,2.0,1.0,51.666666666666664,44.166666666666664,48.333333333333336,46.666666666666664,46.666666666666664
25.0,1.0,2.0,2.0,50.833333333333336,40.0,37.5,45.833333333333336,45.0
25.0,1.0,2.0,3.0,41.0,51.0,39.0,55.0,50.0
26.0,1.0,2.0,1.0,45.0,40.833333333333336,41.666666666666664,43.333333333333336,35.833333333333336
26.0,1.0,2.0,2.0,44.166666666666664,36.666666666666664,37.5,31.666666666666668,32.5
26.0,1.0,2.0,3.0,41.666666666666664,47.833333333333336,40.0,41.666666666666664,37.5
27.0,1.0,2.0,1.0,52.5,53.333333333333336,53.333333333333336,54.166666666666664,50.0
27.0,1.0,2.0,2.0,49.166666666666664,44.166666666666664,44.166666666666664,45.833333333333336,40.0
27.0,1.0,2.0,3.0,66.66666666666667,60.833333333333336,65.0,63.333333333333336,61.666666666666664
28.0,1.0,2.0,1.0,42.5,48.333333333333336,40.0,46.666666666666664,45.0
28.0,1.0,2.0,2.0,40.833333333333336,48.333333333333336,42.5,46.666666666666664,44.166666666666664
28.0,1.0,2.0,3.0,40.0,40.833333333333336,32.5,40.833333333333336,39.166666666666664
29.0,1.0,2.0,1.0,45.0,41.666666666666664,44.166666666666664,45.0,40.0
29.0,1.0,2.0,2.0,41.666666666666664,39.166666666666664,35.0,41.666666666666664,36.666666666666664
29.0,1.0,2.0,3.0,44.166666666666664,45.0,40.833333333333336,42.5,30.833333333333332
30.0,1.0,2.0,1.0,47.5,38.333333333333336,44.166666666666664,45.0,45.0
30.0,1.0,2.0,2.0,38.333333333333336,42.5,43.333333333333336,45.833333333333336,42.5
30.0,1.0,2.0,3.0,50.0,52.5,43.333333333333336,54.166666666666664,49.166666666666664
31.0,1.0,2.0,1.0,57.5,52.5,50.0,54.166666666666664,52.5
31.0,1.0,2.0,2.0,53.333333333333336,42.5,43.333333333333336,49.166666666666664,45.0
31.0,1.0,2.0,3.0,47.0,45.0,32.5,42.5,43.333333333333336
32.0,1.0,2.0,1.0,45.833333333333336,43.333333333333336,48.333333333333336,47.5,44.166666666666664
32.0,1.0,2.0,2.0,52.5,45.0,50.833333333333336,56.666666666666664,54.166666666666664
32.0,1.0,2.0,3.0,43.333333333333336,41.666666666666664,41.666666666666664,44.166666666666664,39.166666666666664
33.0,1.0,2.0,1.0,55.833333333333336,45.0,49.166666666666664,53.333333333333336,48.333333333333336
33.0,1.0,2.0,2.0,49.166666666666664,45.833333333333336,52.5,47.5,52.5
33.0,1.0,2.0,3.0,45.0,46.666666666666664,42.5,40.0,38.333333333333336
34.0,1.0,2.0,1.0,40.833333333333336,42.5,49.166666666666664,57.5,52.5
34.0,1.0,2.0,2.0,42.5,49.166666666666664,35.833333333333336,53.333333333333336,48.333333333333336
34.0,1.0,2.0,3.0,41.0,51.0,30.0,51.0,44.0
35.0,1.0,2.0,1.0,55.833333333333336,55.833333333333336,54.166666666666664,58.333333333333336,50.833333333333336
35.0,1.0,2.0,2.0,65.83333333333333,62.5,59.166666666666664,57.5,51.666666666666664
35.0,1.0,2.0,3.0,67.0,65.0,55.0,55.0,52.0
36.0,1.0,2.0,1.0,44.166666666666664,43.333333333333336,41.666666666666664,49.166666666666664,40.833333333333336
36.0,1.0,2.0,2.0,30.833333333333332,30.0,26.666666666666668,35.0,37.5
36.0,1.0,2.0,3.0,30.0,35.0,27.5,39.166666666666664,35.833333333333336
37.0,1.0,2.0,1.0,50.833333333333336,43.333333333333336,51.666666666666664,49.166666666666664,52.5
37.0,1.0,2.0,2.0,48.333333333333336,43.333333333333336,44.166666666666664,38.333333333333336,35.0
37.0,1.0,2.0,3.0,35.833333333333336,37.5,32.5,30.0,27.5
38.0,1.0,2.0,1.0,48.333333333333336,45.833333333333336,51.666666666666664,58.333333333333336,46.666666666666664
38.0,1.0,2.0,2.0,56.666666666666664,46.666666666666664,55.0,59.166666666666664,57.5
38.0,1.0,2.0,3.0,56.666666666666664,51.666666666666664,58.666666666666664,61.666666666666664,51.666666666666664
39.0,1.0,2.0,1.0,53.333333333333336,43.333333333333336,54.166666666666664,50.0,49.166666666666664
39.0,1.0,2.0,2.0,56.666666666666664,55.0,51.666666666666664,50.0,46.666666666666664
39.0,1.0,2.0,3.0,43.333333333333336,45.833333333333336,31.666666666666668,35.0,35.0
40.0,1.0,2.0,1.0,37.5,44.166666666666664,37.5,37.5,40.0
40.0,1.0,2.0,2.0,45.0,35.833333333333336,39.166666666666664,38.333333333333336,43.333333333333336
40.0,1.0,2.0,3.0,48.0,42.5,33.333333333333336,37.5,35.0
41.0,1.0,2.0,1.0,45.833333333333336,45.833333333333336,50.0,52.5,50.0
41.0,1.0,2.0,2.0,51.666666666666664,43.333333333333336,48.333333333333336,45.0,42.5
41.0,1.0,2.0,3.0,46.666666666666664,47.5,43.333333333333336,48.333333333333336,40.0
42.0,1.0,2.0,1.0,55.0,46.666666666666664,48.333333333333336,51.666666666666664,45.0
42.0,1.0,2.0,2.0,60.0,51.666666666666664,45.0,48.333333333333336,45.833333333333336
42.0,1.0,2.0,3.0,40.0,40.0,32.5,40.833333333333336,35.833333333333336
43.0,1.0,2.0,1.0,45.833333333333336,44.166666666666664,43.333333333333336,39.166666666666664,41.666666666666664
43.0,1.0,2.0,2.0,39.166666666666664,41.666666666666664,40.833333333333336,43.333333333333336,43.333333333333336
43.0,1.0,2.0,3.0,27.5,22.0,15.0,22.5,21.666666666666668
44.0,1.0,2.0,1.0,50.0,50.0,46.666666666666664,49.166666666666664,45.833333333333336
44.0,1.0,2.0,2.0,51.666666666666664,49.166666666666664,49.166666666666664,50.833333333333336,47.5
44.0,1.0,2.0,3.0,50.0,48.333333333333336,43.333333333333336,45.0,44.166666666666664
45.0,1.0,2.0,1.0,51.666666666666664,50.0,48.333333333333336,56.666666666666664,48.333333333333336
45.0,1.0,2.0,2.0,53.333333333333336,53.333333333333336,45.833333333333336,51.666666666666664,45.0
45.0,1.0,2.0,3.0,45.833333333333336,46.666666666666664,43.333333333333336,43.333333333333336,42.5
46.0,1.0,2.0,1.0,43.333333333333336,38.333333333333336,45.0,41.666666666666664,41.666666666666664
46.0,1.0,2.0,2.0,59.166666666666664,45.833333333333336,56.666666666666664,48.333333333333336,46.666666666666664
46.0,1.0,2.0,3.0,44.166666666666664,30.0,36.666666666666664,28.333333333333332,21.666666666666668
47.0,1.0,2.0,1.0,50.0,53.0,53.0,54.0,45.0
47.0,1.0,2.0,2.0,51.0,46.0,45.0,45.0,45.0
47.0,1.0,2.0,3.0,59.166666666666664,55.0,55.0,60.0,49.166666666666664
48.0,1.0,2.0,1.0,53.0,50.0,46.0,51.0,45.0
48.0,1.0,2.0,2.0,53.75,52.5,47.5,41.25,38.75
48.0,1.0,2.0,3.0,35.0,37.0,30.0,28.0,29.0
49.0,1.0,2.0,1.0,45.0,41.666666666666664,45.833333333333336,47.5,44.166666666666664
49.0,1.0,2.0,2.0,41.666666666666664,48.333333333333336,40.833333333333336,43.333333333333336,43.333333333333336
49.0,1.0,2.0,3.0,28.333333333333332,42.833333333333336,34.166666666666664,38.333333333333336,32.5
50.0,1.0,2.0,1.0,54.166666666666664,52.5,47.5,46.666666666666664,47.5
50.0,1.0,2.0,2.0,65.83333333333333,52.5,55.833333333333336,56.666666666666664,57.5
50.0,1.0,2.0,3.0,47.5,50.0,45.833333333333336,50.833333333333336,46.666666666666664
51.0,1.0,2.0,1.0,45.833333333333336,46.666666666666664,49.166666666666664,51.666666666666664,47.5
51.0,1.0,2.0,2.0,53.0,41.0,51.0,51.0,43.0
51.0,1.0,2.0,3.0,46.666666666666664,46.666666666666664,44.5,48.333333333333336,40.0
52.0,1.0,2.0,1.0,45.833333333333336,46.666666666666664,40.0,42.5,40.0
52.0,1.0,2.0,2.0,41.666666666666664,40.0,38.333333333333336,44.166666666666664,40.833333333333336
52.0,1.0,2.0,3.0,48.333333333333336,46.666666666666664,43.333333333333336,47.5,41.666666666666664
53.0,1.0,2.0,1.0,51.666666666666664,44.166666666666664,53.333333333333336,53.333333333333336,50.833333333333336
53.0,1.0,2.0,2.0,44.166666666666664,38.333333333333336,34.166666666666664,45.0,45.0
53.0,1.0,2.0,3.0,45.0,40.0,32.0,38.0,31.25
54.0,1.0,2.0,1.0,58.333333333333336,58.333333333333336,61.0,61.0,57.0
54.0,1.0,2.0,2.0,60.0,47.0,55.0,46.0,55.0
54.0,1.0,2.0,3.0,56.666666666666664,50.0,54.166666666666664,60.0,54.166666666666664
55.0,1.0,2.0,1.0,47.5,45.833333333333336,44.166666666666664,53.333333333333336,50.0
55.0,1.0,2.0,2.0,49.166666666666664,43.333333333333336,46.666666666666664,51.666666666666664,43.333333333333336
55.0,1.0,2.0,3.0,36.666666666666664,35.0,40.0,34.166666666666664,32.5
56.0,1.0,2.0,1.0,45.0,42.5,45.833333333333336,45.0,45.833333333333336
56.0,1.0,2.0,2.0,40.0,35.833333333333336,39.166666666666664,36.666666666666664,37.5
56.0,1.0,2.0,3.0,52.5,45.833333333333336,42.5,54.166666666666664,44.166666666666664
57.0,1.0,2.0,1.0,55.833333333333336,53.0,51.0,58.0,50.0
57.0,1.0,2.0,2.0,50.833333333333336,53.333333333333336,47.5,48.333333333333336,46.666666666666664
57.0,1.0,2.0,3.0,51.666666666666664,50.0,47.5,57.5,45.0
58.0,1.0,2.0,1.0,45.833333333333336,37.5,45.0,36.666666666666664,35.833333333333336
58.0,1.0,2.0,2.0,40.833333333333336,38.333333333333336,35.833333333333336,33.333333333333336,35.0
58.0,1.0,2.0,3.0,45.0,41.666666666666664,39.166666666666664,44.166666666666664,36.666666666666664
59.0,1.0,2.0,1.0,44.166666666666664,42.5,43.333333333333336,41.666666666666664,39.166666666666664
59.0,1.0,2.0,2.0,42.0,43.0,42.0,41.0,45.0
59.0,1.0,2.0,3.0,50.0,37.5,41.666666666666664,41.0,35.0
60.0,1.0,2.0,1.0,41.666666666666664,39.166666666666664,42.5,48.333333333333336,47.5
60.0,1.0,2.0,2.0,34.166666666666664,35.833333333333336,34.0,44.0,44.0
60.0,1.0,2.0,3.0,39.166666666666664,42.5,38.333333333333336,42.5,41.666666666666664
61.0,1.0,2.0,1.0,53.333333333333336,54.166666666666664,52.5,57.5,48.333333333333336
61.0,1.0,2.0,2.0,49.166666666666664,48.333333333333336,44.166666666666664,51.666666666666664,41.666666666666664
61.0,1.0,2.0,3.0,38.333333333333336,40.0,32.5,35.0,30.833333333333332
62.0,1.0,2.0,1.0,49.166666666666664,50.0,48.333333333333336,50.833333333333336,45.833333333333336
62.0,1.0,2.0,2.0,51.666666666666664,50.0,43.333333333333336,53.333333333333336,50.0
62.0,1.0,2.0,3.0,32.5,36.666666666666664,30.0,32.5,30.833333333333332
63.0,1.0,2.0,1.0,51.666666666666664,48.333333333333336,46.666666666666664,44.166666666666664,44.166666666666664
63.0,1.0,2.0,2.0,54.0,42.0,51.0,51.0,42.0
63.0,1.0,2.0,3.0,44.0,35.0,38.0,36.0,29.0
64.0,1.0,2.0,1.0,50.833333333333336,42.5,49.166666666666664,49.166666666666664,50.833333333333336
64.0,1.0,2.0,2.0,33.333333333333336,32.5,30.833333333333332,47.5,45.833333333333336
64.0,1.0,2.0,3.0,48.333333333333336,43.333333333333336,40.833333333333336,46.666666666666664,40.0
65.0,1.0,2.0,1.0,54.166666666666664,45.0,49.166666666666664,47.5,42.5
65.0,1.0,2.0,2.0,46.666666666666664,34.166666666666664,39.166666666666664,30.833333333333332,31.666666666666668
65.0,1.0,2.0,3.0,45.0,38.75,42.0,38.0,34.0
66.0,1.0,2.0,1.0,43.333333333333336,39.166666666666664,40.0,50.833333333333336,47.5
66.0,1.0,2.0,2.0,45.0,42.0,44.0,55.0,51.0
66.0,1.0,2.0,3.0,45.0,38.333333333333336,40.0,46.666666666666664,35.0
67.0,1.0,2.0,1.0,60.0,46.666666666666664,53.333333333333336,51.666666666666664,50.0
67.0,1.0,2.0,2.0,53.333333333333336,45.0,53.333333333333336,48.333333333333336,50.0
67.0,1.0,2.0,3.0,53.0,38.0,49.0,60.0,48.0
68.0,1.0,2.0,1.0,42.5,35.833333333333336,42.5,43.333333333333336,43.333333333333336
68.0,1.0,2.0,2.0,44.166666666666664,40.833333333333336,35.0,45.0,43.333333333333336
68.0,1.0,2.0,3.0,40.833333333333336,33.333333333333336,38.333333333333336,41.666666666666664,33.0
69.0,1.0,2.0,1.0,50.833333333333336,39.166666666666664,46.666666666666664,43.333333333333336,43.333333333333336
69.0,1.0,2.0,2.0,49.166666666666664,47.5,40.833333333333336,48.333333333333336,41.666666666666664
69.0,1.0,2.0,3.0,42.5,44.166666666666664,40.0,42.5,34.166666666666664
70.0,1.0,2.0,1.0,48.0,44.0,40.0,44.0,40.0
70.0,1.0,2.0,2.0,46.0,43.0,42.0,42.0,41.0
70.0,1.0,2.0,3.0,42.0,43.0,37.0,44.0,36.0
71.0,1.0,2.0,1.0,47.5,47.5,47.5,49.166666666666664,46.666666666666664
71.0,1.0,2.0,2.0,45.833333333333336,45.833333333333336,38.333333333333336,49.166666666666664,44.166666666666664
71.0,1.0,2.0,3.0,30.833333333333332,38.333333333333336,24.166666666666668,37.5,34.166666666666664
72.0,1.0,2.0,1.0,41.666666666666664,40.0,43.333333333333336,51.666666666666664,44.166666666666664
72.0,1.0,2.0,2.0,35.833333333333336,35.833333333333336,35.0,47.5,44.166666666666664
72.0,1.0,2.0,3.0,39.166666666666664,45.0,31.666666666666668,44.166666666666664,43.333333333333336
73.0,1.0,2.0,1.0,45.0,41.666666666666664,43.333333333333336,43.333333333333336,40.0
73.0,1.0,2.0,2.0,42.5,39.166666666666664,37.5,39.166666666666664,35.0
73.0,1.0,2.0,3.0,40.833333333333336,40.0,44.166666666666664,45.833333333333336,36.666666666666664
74.0,1.0,2.0,1.0,49.166666666666664,50.833333333333336,44.166666666666664,46.666666666666664,41.666666666666664
74.0,1.0,2.0,2.0,59.166666666666664,55.0,52.5,54.166666666666664,49.166666666666664
74.0,1.0,2.0,3.0,39.5,38.333333333333336,34.166666666666664,31.666666666666668,35.833333333333336
75.0,1.0,2.0,1.0,47.5,41.666666666666664,47.5,50.0,40.833333333333336
75.0,1.0,2.0,2.0,41.666666666666664,37.5,32.5,39.166666666666664,40.0
75.0,1.0,2.0,3.0,39.166666666666664,35.833333333333336,42.5,47.5,36.0
76.0,1.0,2.0,1.0,45.0,42.5,42.5,39.166666666666664,39.166666666666664
76.0,1.0,2.0,2.0,44.166666666666664,31.666666666666668,40.0,34.166666666666664,37.5
76.0,1.0,2.0,3.0,45.833333333333336,43.333333333333336,38.333333333333336,41.666666666666664,32.5
77.0,1.0,2.0,1.0,48.333333333333336,42.5,41.666666666666664,58.333333333333336,46.666666666666664
77.0,1.0,2.0,2.0,45.833333333333336,44.166666666666664,40.833333333333336,47.5,43.333333333333336
77.0,1.0,2.0,3.0,49.166666666666664,50.0,45.0,52.5,48.333333333333336
78.0,1.0,2.0,1.0,50.0,42.5,44.166666666666664,52.5,44.166666666666664
78.0,1.0,2.0,2.0,42.0,38.0,40.0,49.0,45.0
78.0,1.0,2.0,3.0,50.833333333333336,48.333333333333336,47.5,44.166666666666664,39.166666666666664
79.0,1.0,2.0,1.0,49.166666666666664,43.333333333333336,44.166666666666664,46.666666666666664,40.833333333333336
79.0,1.0,2.0,2.0,50.0,46.666666666666664,42.5,46.666666666666664,41.666666666666664
79.0,1.0,2.0,3.0,48.333333333333336,40.0,45.0,56.666666666666664,39.166666666666664
80.0,1.0,2.0,1.0,59.166666666666664,51.666666666666664,50.0,50.833333333333336,50.0
80.0,1.0,2.0,2.0,62.5,60.833333333333336,45.833333333333336,42.5,46.666666666666664
80.0,1.0,2.0,3.0,46.666666666666664,48.333333333333336,43.333333333333336,50.0,40.833333333333336
