"dyad","clip","conv","minu","raid","rsex","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","speaking","contribution","content","tsex","power","enunciated","chillness","presence","motherease","calmness","dominance","responsivity"
23,1,1,3,3,1,3,5,3,5,6,1,5,4,6,6,5,6,6,5,5,25,60,1,1,5.25,5,3,42.5,1,5,5,5.75
23,2,2,3,3,1,2,4,2,5,4,1,4,5,5,6,6,6,6,5,5,10,50,1,1,4.25,5,2,30,1,6,5,5.75
23,3,3,1,3,1,4,5,5,5,6,1,5,3,5,6,5,6,6,5,4,20,30,1,1,5.25,4,4.5,25,1,5,4,5.75
23,4,3,2,3,1,2,5,3,5,4,1,5,5,5,5,6,5,6,4,4,10,10,1,1,4.75,5,2.5,10,1,6,4,5
24,1,1,3,3,1,5,4,4,5,4,3,4,6,7,7,6,7,7,6,6,30,70,1,0,4.25,6.5,4.5,50,3,6,6,6.75
24,2,2,3,3,1,5,4,4,6,4,2,4,6,7,7,6,7,7,6,5,10,75,1,0,4.5,6.5,4.5,42.5,2,6,5,6.75
24,3,3,1,3,1,5,4,4,6,4,2,4,6,6,7,6,7,7,6,4,30,60,1,0,4.5,6,4.5,45,2,6,4,6.75
24,4,3,2,3,1,4,4,4,5,4,1,3,6,6,6,6,6,6,5,4,20,30,1,0,4,6,4,25,1,6,4,5.75
25,1,1,3,3,1,1,3,1,4,6,1,4,4,6,6,6,5,5,5,4,30,30,1,1,4.25,5,1,30,1,6,4,5.25
25,2,2,3,3,1,1,4,1,5,6,1,3,5,5,6,6,5,5,6,4,10,30,1,1,4.5,5,1,20,1,6,4,5.5
25,3,3,1,3,1,1,4,1,5,6,1,3,3,3,6,6,5,5,5,4,30,30,1,1,4.5,3,1,30,1,6,4,5.25
25,4,3,2,3,1,1,4,1,5,6,1,4,5,4,6,6,5,5,5,4,30,30,1,1,4.75,4.5,1,30,1,6,4,5.25
26,1,1,3,3,1,4,5,5,6,4,1,5,5,3,6,4,5,5,5,4,15,40,1,1,5,4,4.5,27.5,1,4,4,5.25
26,2,2,3,3,1,4,4,3,5,5,1,5,3,5,5,3,5,6,5,4,5,15,1,1,4.75,4,3.5,10,1,3,4,5.25
26,3,3,1,3,1,5,6,6,6,5,1,6,5,4,6,5,6,6,6,4,20,20,1,1,5.75,4.5,5.5,20,1,5,4,6
26,4,3,2,3,1,6,6,7,6,5,1,6,5,5,6,5,6,6,5,4,15,30,1,1,5.75,5,6.5,22.5,1,5,4,5.75
27,1,1,3,3,1,3,3,3,2,4,1,2,4,6,6,4,4,5,4,3,10,25,1,0,2.75,5,3,17.5,1,4,3,4.75
27,2,2,3,3,1,3,3,2,2,4,1,2,4,5,4,5,3,4,4,3,5,15,1,0,2.75,4.5,2.5,10,1,5,3,3.75
27,3,3,1,3,1,3,3,2,2,4,1,2,4,5,5,5,5,5,5,3,15,25,1,0,2.75,4.5,2.5,20,1,5,3,5
27,4,3,2,3,1,3,3,2,3,4,1,3,5,5,5,4,5,5,5,3,20,30,1,0,3.25,5,2.5,25,1,4,3,5
28,1,1,3,3,1,3,4,3,5,3,2,5,6,4,6,6,6,6,5,4,40,30,1,1,4.25,5,3,35,2,6,4,5.75
28,2,2,3,3,1,2,3,2,5,5,1,4,5,5,6,6,6,6,6,4,20,60,1,1,4.25,5,2,40,1,6,4,6
28,3,3,1,3,1,4,4,2,3,4,1,3,5,5,6,6,6,6,5,3,15,20,1,1,3.5,5,3,17.5,1,6,3,5.75
28,4,3,2,3,1,3,4,2,3,4,1,3,5,5,6,6,6,6,6,3,20,35,1,1,3.5,5,2.5,27.5,1,6,3,6
29,1,1,3,3,1,1,4,1,4,4,1,3,3,5,5,6,4,5,4,3,30,20,1,1,3.75,4,1,25,1,6,3,4.5
29,2,2,3,3,1,1,4,1,5,4,1,3,3,5,6,6,4,5,4,3,5,15,1,1,4,4,1,10,1,6,3,4.75
29,3,3,1,3,1,5,3,1,5,4,1,5,5,5,6,6,6,6,6,6,60,60,1,1,4.25,5,3,60,1,6,6,6
29,4,3,2,3,1,4,6,1,5,4,1,5,5,6,6,6,6,6,6,5,30,40,1,1,5,5.5,2.5,35,1,6,5,6
30,1,1,3,3,1,4,4,3,3,4,1,3,6,5,6,6,5,6,5,4,20,40,2,0,3.5,5.5,3.5,30,1,6,4,5.5
30,2,2,3,3,1,4,4,3,4,4,1,3,6,5,6,7,6,6,6,5,10,60,2,0,3.75,5.5,3.5,35,1,7,5,6
30,3,3,1,3,1,4,4,3,5,4,1,5,5,5,6,7,6,6,6,3,20,30,1,0,4.5,5,3.5,25,1,7,3,6
30,4,3,2,3,1,4,4,3,5,4,1,5,6,5,5,7,5,6,5,3,15,25,1,0,4.5,5.5,3.5,20,1,7,3,5.25
31,1,1,3,3,1,2,3,1,1,3,1,1,5,2,3,3,3,2,2,2,15,5,2,1,2,3.5,1.5,10,1,3,2,2.5
31,2,2,3,3,1,2,3,2,2,3,1,1,5,2,3,3,3,3,3,2,5,10,2,1,2.25,3.5,2,7.5,1,3,2,3
31,3,3,1,3,1,1,1,1,2,3,1,1,3,2,2,3,2,3,3,2,15,5,2,1,1.75,2.5,1,10,1,3,2,2.5
31,4,3,2,3,1,2,2,2,3,3,1,1,5,3,3,5,3,3,3,2,20,15,2,1,2.25,4,2,17.5,1,5,2,3
32,1,1,3,3,1,5,4,3,5,4,1,5,4,4,6,3,5,5,5,4,20,30,1,1,4.5,4,4,25,1,3,4,5.25
32,2,2,3,3,1,4,4,2,4,4,1,4,3,3,4,3,3,4,3,3,7,12,1,1,4,3,3,9.5,1,3,3,3.5
32,3,3,1,3,1,4,4,3,5,4,1,5,5,4,6,5,6,6,6,4,20,40,1,1,4.5,4.5,3.5,30,1,5,4,6
32,4,3,2,3,1,5,4,4,5,5,1,5,3,3,6,6,4,5,4,3,10,10,1,1,4.75,3,4.5,10,1,6,3,4.75
33,1,1,3,3,1,6,3,5,3,4,3,3,6,6,6,5,5,6,6,4,30,50,1,1,3.25,6,5.5,40,3,5,4,5.75
33,2,2,3,3,1,4,3,2,2,3,1,2,5,5,6,6,5,6,6,4,10,60,1,1,2.5,5,3,35,1,6,4,5.75
33,3,3,1,3,1,5,5,6,5,6,2,6,6,6,6,6,7,6,6,5,60,50,1,1,5.5,6,5.5,55,2,6,5,6.25
33,4,3,2,3,1,5,5,4,5,6,1,5,5,5,6,6,6,6,6,5,40,50,1,1,5.25,5,4.5,45,1,6,5,6
34,1,1,3,3,1,5,6,5,6,7,3,4,5,5,6,4,6,6,7,4,50,50,2,1,5.75,5,5,50,3,4,4,6.25
34,2,2,3,3,1,5,6,4,6,6,4,6,5,6,6,4,6,7,6,5,15,80,2,1,6,5.5,4.5,47.5,4,4,5,6.25
34,3,3,1,3,1,4,4,2,5,7,1,5,2,3,7,4,7,6,7,4,40,50,2,1,5.25,2.5,3,45,1,4,4,6.75
34,4,3,2,3,1,3,4,2,5,6,1,5,2,4,7,5,7,6,6,4,40,50,2,1,5,3,2.5,45,1,5,4,6.5
35,1,1,3,3,1,5,5,3,6,4,2,6,6,6,6,7,6,6,6,4,25,60,1,0,5.25,6,4,42.5,2,7,4,6
35,2,2,3,3,1,5,5,3,6,4,2,6,6,7,6,6,6,6,6,5,10,60,1,0,5.25,6.5,4,35,2,6,5,6
35,3,3,1,3,1,5,5,3,6,4,2,6,6,7,7,6,7,7,6,6,65,70,1,0,5.25,6.5,4,67.5,2,6,6,6.75
35,4,3,2,3,1,5,5,4,6,4,2,6,6,7,6,6,6,6,6,5,50,50,1,0,5.25,6.5,4.5,50,2,6,5,6
36,1,1,3,3,1,5,4,4,5,4,1,4,5,5,6,5,5,5,5,3,15,30,1,1,4.25,5,4.5,22.5,1,5,3,5.25
36,2,2,3,3,1,4,4,3,5,4,1,4,4,3,6,5,5,6,5,4,5,20,1,1,4.25,3.5,3.5,12.5,1,5,4,5.5
36,3,3,1,3,1,4,4,3,5,4,1,4,5,4,5,5,5,5,5,3,15,20,1,1,4.25,4.5,3.5,17.5,1,5,3,5
36,4,3,2,3,1,4,4,3,5,5,1,4,4,4,5,5,5,6,4,3,10,20,1,1,4.5,4,3.5,15,1,5,3,5
37,1,1,3,3,1,3,5,3,4,5,2,5,3,3,6,3,5,6,6,3,40,30,1,1,4.75,3,3,35,2,3,3,5.75
37,2,2,3,3,1,5,5,3,5,5,2,5,3,3,6,3,6,6,6,4,25,70,1,1,5,3,4,47.5,2,3,4,6
37,3,3,1,3,1,3,5,3,4,5,1,4,3,3,6,5,6,6,6,3,20,40,1,1,4.5,3,3,30,1,5,3,6
37,4,3,2,3,1,3,5,3,4,5,1,4,3,3,6,6,6,6,6,3,30,40,1,1,4.5,3,3,35,1,6,3,6
38,1,1,3,3,1,5,4,4,5,4,2,4,5,6,6,6,5,6,5,4,20,30,1,0,4.25,5.5,4.5,25,2,6,4,5.5
38,2,2,3,3,1,5,4,4,5,4,2,5,6,7,6,6,5,6,5,4,15,20,1,0,4.5,6.5,4.5,17.5,2,6,4,5.5
38,3,3,1,3,1,4,4,3,5,5,1,5,6,6,6,6,6,6,6,5,60,60,1,0,4.75,6,3.5,60,1,6,5,6
38,4,3,2,3,1,4,4,4,5,4,1,5,6,6,6,6,6,6,6,4,60,60,1,0,4.5,6,4,60,1,6,4,6
39,1,1,3,3,1,2,4,2,5,4,1,5,6,5,5,6,5,5,4,4,15,20,1,1,4.5,5.5,2,17.5,1,6,4,4.75
39,2,2,3,3,1,2,4,2,4,4,1,4,5,3,5,6,5,6,5,4,10,20,1,1,4,4,2,15,1,6,4,5.25
39,3,3,1,3,1,2,3,2,3,4,1,3,5,3,5,6,5,6,5,3,20,30,1,1,3.25,4,2,25,1,6,3,5.25
39,4,3,2,3,1,2,4,2,4,4,1,4,6,3,6,6,5,6,5,3,30,40,1,1,4,4.5,2,35,1,6,3,5.5
40,1,1,3,3,1,2,3,2,3,4,1,3,4,3,5,6,4,5,5,3,15,30,1,1,3.25,3.5,2,22.5,1,6,3,4.75
40,2,2,3,3,1,2,3,2,3,4,1,3,5,4,5,6,4,5,5,3,10,30,1,1,3.25,4.5,2,20,1,6,3,4.75
40,3,3,1,3,1,1,3,1,3,4,1,3,4,4,5,7,5,5,5,3,25,30,1,1,3.25,4,1,27.5,1,7,3,5
40,4,3,2,3,1,1,3,1,3,4,1,3,5,4,6,7,6,5,6,3,40,50,1,1,3.25,4.5,1,45,1,7,3,5.75
41,1,1,3,3,1,2,3,2,3,4,2,3,5,5,5,6,5,6,5,4,25,50,1,1,3.25,5,2,37.5,2,6,4,5.25
41,2,2,3,3,1,2,3,2,3,4,1,3,5,4,6,6,5,6,6,4,10,70,1,1,3.25,4.5,2,40,1,6,4,5.75
41,3,3,1,3,1,4,4,2,4,4,1,4,5,5,6,6,6,6,6,4,50,50,1,1,4,5,3,50,1,6,4,6
41,4,3,2,3,1,4,4,2,5,4,1,5,6,5,6,6,6,6,6,5,70,60,1,1,4.5,5.5,3,65,1,6,5,6
42,1,1,3,3,1,3,4,2,4,4,1,3,3,3,5,6,5,5,5,4,20,30,2,0,3.75,3,2.5,25,1,6,4,5
42,2,2,3,3,1,3,4,2,5,4,1,4,3,3,6,7,5,4,5,4,10,30,3,0,4.25,3,2.5,20,1,7,4,5
42,3,3,1,3,1,3,4,2,5,5,1,4,2,4,6,7,6,6,6,4,30,30,2,0,4.5,3,2.5,30,1,7,4,6
42,4,3,2,3,1,3,4,2,4,5,1,4,3,4,6,7,6,5,5,4,35,30,3,0,4.25,3.5,2.5,32.5,1,7,4,5.5
43,1,1,3,3,1,5,4,4,5,4,2,4,5,5,6,5,6,6,6,4,25,60,1,1,4.25,5,4.5,42.5,2,5,4,6
43,2,2,3,3,1,5,4,3,5,5,1,4,5,5,6,6,6,6,6,4,10,60,1,1,4.5,5,4,35,1,6,4,6
43,3,3,1,3,1,5,5,3,5,5,1,5,5,5,6,6,6,6,6,4,25,35,1,1,5,5,4,30,1,6,4,6
43,4,3,2,3,1,5,5,3,5,5,1,5,5,5,6,6,6,6,6,4,20,30,1,1,5,5,4,25,1,6,4,6
44,1,1,3,3,1,5,4,5,4,4,3,3,5,6,6,3,6,6,6,5,40,70,1,0,3.75,5.5,5,55,3,3,5,6
44,2,2,3,3,1,5,3,5,3,4,2,3,4,3,6,4,5,6,5,5,10,70,2,0,3.25,3.5,5,40,2,4,5,5.5
44,3,3,1,3,1,5,3,5,3,5,2,4,4,4,6,4,5,6,5,3,30,40,1,0,3.75,4,5,35,2,4,3,5.5
44,4,3,2,3,1,5,3,5,3,4,2,3,3,4,6,4,5,6,5,4,25,30,1,0,3.25,3.5,5,27.5,2,4,4,5.5
45,1,1,3,3,1,5,4,3,5,4,2,5,5,5,6,6,5,6,5,4,20,50,1,1,4.5,5,4,35,2,6,4,5.5
45,2,2,3,3,1,5,4,3,4,4,1,3,5,3,6,6,6,6,6,4,15,60,1,1,3.75,4,4,37.5,1,6,4,6
45,3,3,1,3,1,5,5,3,5,5,1,5,5,5,6,6,7,6,6,5,80,70,1,1,5,5,4,75,1,6,5,6.25
45,4,3,2,3,1,5,5,3,5,5,1,5,5,5,6,6,7,6,6,6,70,60,1,1,5,5,4,65,1,6,6,6.25
46,1,1,3,3,1,5,4,4,3,4,2,3,6,5,5,5,5,6,5,4,20,40,1,1,3.5,5.5,4.5,30,2,5,4,5.25
46,2,2,3,3,1,5,3,3,2,4,1,3,3,3,5,5,5,6,6,3,5,60,1,1,3,3,4,32.5,1,5,3,5.5
46,3,3,1,3,1,2,3,2,3,4,1,3,3,3,6,6,6,6,6,4,20,30,1,1,3.25,3,2,25,1,6,4,6
46,4,3,2,3,1,3,4,2,3,4,1,3,3,3,6,6,6,6,6,3,30,40,1,1,3.5,3,2.5,35,1,6,3,6
47,1,1,3,3,1,6,4,6,5,5,6,2,5,3,6,6,7,7,7,4,40,70,1,1,4,4,6,55,6,6,4,6.75
47,2,2,3,3,1,6,2,4,5,5,5,2,3,2,6,5,6,6,7,3,15,60,1,1,3.5,2.5,5,37.5,5,5,3,6.25
47,3,3,1,3,1,6,5,6,6,6,5,5,3,6,6,7,6,6,3,,0,0,,1,5.5,4.5,6,0,5,7,,5.25
47,4,3,2,3,1,6,3,6,4,6,5,2,5,3,6,6,7,6,7,3,20,50,1,1,3.75,4,6,35,5,6,3,6.5
48,1,1,3,3,1,5,5,4,5,3,2,4,7,6,6,6,6,6,6,4,30,70,1,1,4.25,6.5,4.5,50,2,6,4,6
48,2,2,3,3,1,3,3,3,3,2,1,3,6,5,6,6,6,6,6,5,15,60,1,1,2.75,5.5,3,37.5,1,6,5,6
48,3,3,1,3,1,3,2,3,4,2,1,2,5,5,6,6,5,6,6,3,40,50,1,1,2.5,5,3,45,1,6,3,5.75
48,4,3,2,3,1,2,3,2,4,3,1,2,4,5,6,6,5,6,6,3,30,30,1,1,3,4.5,2,30,1,6,3,5.75
49,1,1,3,3,1,3,4,3,5,4,1,5,6,6,5,6,5,6,5,4,20,30,1,0,4.5,6,3,25,1,6,4,5.25
49,2,2,3,3,1,4,4,3,5,4,1,5,6,6,6,6,5,6,5,5,10,60,2,0,4.5,6,3.5,35,1,6,5,5.5
49,3,3,1,3,1,5,4,3,6,5,1,5,5,6,6,7,6,6,6,4,30,30,1,0,5,5.5,4,30,1,7,4,6
49,4,3,2,3,1,5,4,4,5,4,1,5,5,6,6,7,5,6,5,4,30,30,1,0,4.5,5.5,4.5,30,1,7,4,5.5
50,1,1,3,3,1,3,3,3,2,4,1,3,3,3,4,6,4,5,4,3,12,15,1,0,3,3,3,13.5,1,6,3,4.25
50,2,2,3,3,1,3,3,3,2,4,1,2,4,4,4,6,5,5,5,4,12,60,1,0,2.75,4,3,36,1,6,4,4.75
50,3,3,1,3,1,3,3,3,3,4,1,2,3,5,5,6,4,6,5,3,20,25,1,0,3,4,3,22.5,1,6,3,5
50,4,3,2,3,1,3,3,3,4,4,1,3,3,4,5,6,4,5,4,3,15,20,1,0,3.5,3.5,3,17.5,1,6,3,4.5
51,1,1,3,3,1,5,3,3,3,6,2,3,4,3,5,3,4,6,4,3,45,30,2,1,3.75,3.5,4,37.5,2,3,3,4.75
51,2,2,3,3,1,3,4,2,4,6,2,4,3,3,6,5,6,6,6,5,30,70,2,1,4.5,3,2.5,50,2,5,5,6
51,3,3,1,3,1,4,4,3,5,6,3,3,3,3,6,5,6,6,6,3,20,40,2,1,4.5,3,3.5,30,3,5,3,6
51,4,3,2,3,1,6,3,4,5,6,3,5,3,3,6,5,6,4,6,5,50,40,2,1,4.75,3,5,45,3,5,5,5.5
52,1,1,3,3,1,4,5,4,5,5,2,5,4,5,6,5,5,6,5,4,35,25,2,1,5,4.5,4,30,2,5,4,5.5
52,2,2,3,3,1,3,4,3,4,5,2,4,3,4,6,5,6,6,6,3,25,35,1,1,4.25,3.5,3,30,2,5,3,6
52,3,3,1,3,1,4,5,5,4,5,2,4,4,3,6,6,6,6,6,3,50,50,1,1,4.5,3.5,4.5,50,2,6,3,6
52,4,3,2,3,1,2,3,3,3,3,1,2,3,3,3,6,4,4,6,3,30,20,1,1,2.75,3,2.5,25,1,6,3,4.25
53,1,1,3,3,1,5,2,5,2,5,3,2,5,5,5,3,5,5,5,2,20,30,2,1,2.75,5,5,25,3,3,2,5
53,2,2,3,3,1,6,2,5,2,4,5,2,3,3,5,3,5,5,5,2,10,25,2,1,2.5,3,5.5,17.5,5,3,2,5
53,3,3,1,3,1,5,4,5,3,6,1,3,2,3,6,6,6,6,6,3,30,30,2,1,4,2.5,5,30,1,6,3,6
53,4,3,2,3,1,5,3,5,4,5,1,3,5,3,6,6,6,6,6,3,40,30,2,1,3.75,4,5,35,1,6,3,6
54,1,1,3,3,1,4,4,3,5,4,1,4,6,6,6,6,5,6,5,3,15,30,1,0,4.25,6,3.5,22.5,1,6,3,5.5
54,2,2,3,3,1,5,4,3,5,4,2,5,6,6,6,6,5,6,5,5,10,75,1,0,4.5,6,4,42.5,2,6,5,5.5
54,3,3,1,3,1,2,4,2,4,4,1,4,5,5,6,6,5,6,5,4,25,35,1,0,4,5,2,30,1,6,4,5.5
54,4,3,2,3,1,3,4,3,4,4,1,3,5,5,6,6,5,6,5,4,20,30,1,0,3.75,5,3,25,1,6,4,5.5
55,1,1,3,3,1,3,4,3,3,4,1,3,3,5,6,4,4,5,4,3,15,20,1,0,3.5,4,3,17.5,1,4,3,4.75
55,2,2,3,3,1,3,3,2,3,4,1,3,5,6,6,6,5,6,5,5,15,70,1,0,3.25,5.5,2.5,42.5,1,6,5,5.5
55,3,3,1,3,1,4,4,3,5,4,1,5,5,5,6,6,6,7,6,5,50,50,1,0,4.5,5,3.5,50,1,6,5,6.25
55,4,3,2,3,1,3,4,2,4,4,1,4,5,7,6,6,6,6,6,4,30,30,1,0,4,6,2.5,30,1,6,4,6
56,1,1,3,3,1,3,4,3,4,4,1,4,6,6,6,6,5,6,5,4,15,60,1,0,4,6,3,37.5,1,6,4,5.5
56,2,2,3,3,1,3,4,3,5,4,1,4,6,6,6,6,5,6,5,4,5,30,1,0,4.25,6,3,17.5,1,6,4,5.5
56,3,3,1,3,1,4,4,3,5,4,1,5,7,6,6,6,6,6,6,4,60,60,1,0,4.5,6.5,3.5,60,1,6,4,6
56,4,3,2,3,1,3,4,3,5,4,1,4,6,6,7,6,6,6,6,4,60,60,1,0,4.25,6,3,60,1,6,4,6.25
57,1,1,3,3,1,6,4,5,5,4,4,4,6,6,6,6,5,6,5,4,15,50,1,1,4.25,6,5.5,32.5,4,6,4,5.5
57,2,2,3,3,1,6,3,5,3,4,2,3,6,5,6,6,4,6,5,3,10,15,1,1,3.25,5.5,5.5,12.5,2,6,3,5.25
57,3,3,1,3,1,5,4,5,3,4,2,4,5,5,5,6,5,6,5,3,10,20,1,1,3.75,5,5,15,2,6,3,5.25
57,4,3,2,3,1,5,4,5,3,4,1,3,5,5,5,6,5,6,5,3,15,20,1,1,3.5,5,5,17.5,1,6,3,5.25
58,1,1,3,3,1,1,3,1,2,3,1,2,3,3,3,7,5,3,5,4,40,50,2,1,2.5,3,1,45,1,7,4,4
58,2,2,3,3,1,1,2,1,4,3,1,2,3,3,3,6,5,4,6,3,40,70,2,1,2.75,3,1,55,1,6,3,4.5
58,3,3,1,3,1,1,3,1,4,3,1,2,3,3,5,6,5,4,5,2,30,40,2,1,3,3,1,35,1,6,2,4.75
58,4,3,2,3,1,1,3,1,4,3,1,2,3,3,5,6,5,4,5,2,25,40,2,1,3,3,1,32.5,1,6,2,4.75
59,1,1,3,3,1,2,2,2,2,3,1,2,5,5,5,3,5,5,6,2,30,25,2,1,2.25,5,2,27.5,1,3,2,5.25
59,2,2,3,3,1,2,2,2,2,3,1,1,5,3,5,3,4,5,5,2,5,30,2,1,2,4,2,17.5,1,3,2,4.75
59,3,3,1,3,1,2,2,2,4,3,2,2,5,3,5,4,5,5,5,2,20,40,2,1,2.75,4,2,30,2,4,2,5
59,4,3,2,3,1,3,3,3,4,4,2,2,5,3,5,5,5,5,5,3,30,50,2,1,3.25,4,3,40,2,5,3,5
60,1,1,3,3,1,4,4,3,5,4,1,5,4,6,6,6,5,6,5,5,20,60,1,0,4.5,5,3.5,40,1,6,5,5.5
60,2,2,3,3,1,5,4,3,5,4,2,5,5,6,6,7,6,6,5,5,15,75,1,0,4.5,5.5,4,45,2,7,5,5.75
60,3,3,1,3,1,3,4,3,5,4,1,4,6,7,6,7,6,6,6,4,25,30,1,0,4.25,6.5,3,27.5,1,7,4,6
60,4,3,2,3,1,3,4,3,5,4,1,4,6,7,6,7,6,6,6,4,20,50,1,0,4.25,6.5,3,35,1,7,4,6
61,1,1,3,3,1,5,4,4,5,4,2,5,5,6,6,5,6,6,6,4,20,50,1,1,4.5,5.5,4.5,35,2,5,4,6
61,2,2,3,3,1,5,4,4,5,4,2,5,5,6,6,6,6,6,6,4,5,60,1,1,4.5,5.5,4.5,32.5,2,6,4,6
61,3,3,1,3,1,5,5,5,5,6,1,5,5,5,6,6,6,6,6,4,50,60,1,1,5.25,5,5,55,1,6,4,6
61,4,3,2,3,1,5,5,5,5,6,1,5,5,6,7,6,7,7,7,4,40,50,1,1,5.25,5.5,5,45,1,6,4,7
62,1,1,3,3,1,5,5,4,6,5,2,6,6,6,6,5,6,6,6,4,30,50,1,0,5.5,6,4.5,40,2,5,4,6
62,2,2,3,3,1,5,5,4,6,5,1,6,6,6,7,5,7,6,6,6,30,60,2,0,5.5,6,4.5,45,1,5,6,6.5
62,3,3,1,3,1,4,4,4,5,5,1,5,5,6,6,5,6,6,5,3,20,30,1,0,4.75,5.5,4,25,1,5,3,5.75
62,4,3,2,3,1,3,4,3,5,5,1,5,5,6,6,6,5,7,5,2,10,15,1,0,4.75,5.5,3,12.5,1,6,2,5.75
63,1,1,3,3,1,3,4,2,3,3,1,3,5,5,6,6,5,6,5,4,25,50,1,1,3.25,5,2.5,37.5,1,6,4,5.5
63,2,2,3,3,1,2,4,2,3,3,1,3,5,5,6,6,5,6,5,4,20,60,1,1,3.25,5,2,40,1,6,4,5.5
63,3,3,1,3,1,2,4,2,4,5,1,3,6,5,6,6,5,6,5,3,30,40,1,1,4,5.5,2,35,1,6,3,5.5
63,4,3,2,3,1,2,4,2,3,5,1,3,6,5,6,6,5,6,5,3,30,30,1,1,3.75,5.5,2,30,1,6,3,5.5
64,1,1,3,3,1,3,4,3,3,4,1,3,5,5,6,5,5,5,5,4,15,30,1,1,3.5,5,3,22.5,1,5,4,5.25
64,2,2,3,3,1,3,4,3,5,4,1,4,5,6,6,6,5,6,5,4,5,30,1,1,4.25,5.5,3,17.5,1,6,4,5.5
64,3,3,1,3,1,4,4,3,5,5,1,5,3,5,6,6,6,6,6,4,25,40,1,1,4.75,4,3.5,32.5,1,6,4,6
64,4,3,2,3,1,4,4,3,5,5,1,4,3,5,6,6,6,6,6,4,50,50,1,1,4.5,4,3.5,50,1,6,4,6
65,1,1,3,3,1,4,3,3,3,5,2,3,3,4,6,6,6,6,6,3,25,50,1,1,3.5,3.5,3.5,37.5,2,6,3,6
65,1,2,3,3,1,5,3,3,3,4,2,3,3,3,5,6,6,6,6,3,65,75,1,1,3.25,3,4,70,2,6,3,5.75
65,3,3,1,3,1,3,3,3,3,4,2,3,3,3,5,6,5,6,5,3,35,30,2,1,3.25,3,3,32.5,2,6,3,5.25
65,4,3,2,3,1,4,3,3,3,4,2,3,3,3,6,6,6,6,6,3,40,50,2,1,3.25,3,3.5,45,2,6,3,6
66,1,1,3,3,1,2,3,2,3,5,1,2,5,3,4,3,3,4,3,3,25,20,2,1,3.25,4,2,22.5,1,3,3,3.5
66,2,2,3,3,1,2,1,2,2,4,1,1,5,3,3,3,3,3,3,2,5,20,2,1,2,4,2,12.5,1,3,2,3
66,3,3,1,3,1,3,5,3,4,5,2,5,5,3,5,5,5,5,5,4,40,40,2,1,4.75,4,3,40,2,5,4,5
66,4,3,2,3,1,3,4,3,4,6,1,4,5,2,5,6,5,5,5,2,25,30,2,1,4.5,3.5,3,27.5,1,6,2,5
67,1,1,3,3,1,3,3,2,3,3,2,2,5,5,5,5,5,5,5,3,25,50,2,1,2.75,5,2.5,37.5,2,5,3,5
67,2,2,3,3,1,3,3,3,3,3,1,2,6,5,4,5,4,5,5,2,5,50,2,1,2.75,5.5,3,27.5,1,5,2,4.5
67,3,3,1,3,1,2,3,2,3,3,1,1,6,5,5,5,4,5,5,2,20,40,2,1,2.5,5.5,2,30,1,5,2,4.75
67,4,3,2,3,1,2,2,2,2,4,1,2,6,5,5,5,5,5,5,2,15,30,2,1,2.5,5.5,2,22.5,1,5,2,5
68,1,1,3,3,1,5,2,6,1,3,2,1,5,3,3,2,3,4,2,2,20,20,2,1,1.75,4,5.5,20,2,2,2,3
68,2,2,3,3,1,5,2,4,1,2,1,1,5,3,3,2,3,5,5,2,10,30,2,1,1.5,4,4.5,20,1,2,2,4
68,3,3,1,3,1,5,2,5,2,3,1,1,5,3,5,3,5,6,5,2,15,20,2,1,2,4,5,17.5,1,3,2,5.25
68,4,3,2,3,1,5,2,4,2,3,1,1,5,2,3,3,3,4,5,2,15,15,2,1,2,3.5,4.5,15,1,3,2,3.75
69,1,1,3,3,1,2,4,3,3,4,1,3,6,6,5,6,4,5,4,3,20,20,1,1,3.5,6,2.5,20,1,6,3,4.5
